Date	Code	Headline	Relevance
3-Apr	BFW	Pompeo Tells Cavusoglu He’s Concerned About Russia Missile Buy	0
3-Apr	GO1	State Dept: Secretary Pompeo's Meeting With Turkish Foreign Minister Mevlut Cavusoglu	0
3-Apr	GO1	Rep. Engel: Readout of Meeting with Turkish Foreign Minister	0
3-Apr	DPA	EXTRA Turkey tells US to choose if to remain allies with Ankara	0
3-Apr	NYT	Erdogan Opponents Vow Rare Scrutiny of Istanbul’s Books	1
3-Apr	ANS	ANSA/ Turchia: Imamoglu all'attacco,Erdogan mi riconosca sindaco	0
3-Apr	APW	Istanbul Mayoral Candidate Asks to Be Confirmed as Winner	1
3-Apr	ANS	Turchia: riconteggio schede amministrative anche ad Ankara	0
3-Apr	GO5	Macedonian Info: Opposition candidate in Istanbul demands officials grant him victory	0
3-Apr	SBN	NATO would not be "able" to defend Turkey's airspace	0
3-Apr	PTI	Turkey recounts Istanbul votes after Erdogan's party appeals loss	0
3-Apr	ANS	Turkey: Cavusoglu, Russian missile purchase concluded	0
3-Apr	HUR	Turkey's annual inflation rate at 19.71 pct in March	1
3-Apr	BN	Sparks Fly as Brazil Economy Czar, Lawmakers Clash on Reform	1
3-Apr	BFW	Brazil Cenbank Informs Laia That It is no Longer Part of CCR	0
3-Apr	NPW	Keanu Reeves visits Brazil for new TV series	0
3-Apr	BFW	*BRAZIL CENBANK INFORMS LAIA THAT IT IS NO LONGER PART OF CCR	0
3-Apr	BN	*BRAZIL LAWMAKER SAYS NOR EVEN BOLSONARO SUPPORTS PENSION REFORM	1
3-Apr	BFW	Brazil Real Retreats After Guedes Meeting Backfires	0
3-Apr	BFW	U.S. Gets Biggest Share of Brazil Fuel Imports in at Least 7 Yrs	0
3-Apr	BNA	Brazil Gazettes Consultation Solution Clarifying Social Security Contributions for Revenue From Sale of Auto Parts	0
3-Apr	BNA	Brazil Gazettes Consultation Solutions Clarifying Industrialized Products Tax Exemption for Foreign Products, Vehicles	0
3-Apr	BN	*BRAZIL PENSION CAN'T PRIVILEGE LEGISLATORS, JUDGES: MINISTER	1
4-Apr	FEX	Erdogan humbled	0
4-Apr	DPA	EXTRA Turkey blasts US State Department following showdown	1
4-Apr	FTI	Erdogan's power diminished by election setback	1
4-Apr	NTX	Presidents of Turkey and Russia will meet next Monday	0
4-Apr	GO8	ForMinistry (TR): Visit of Foreign Minister Mevlüt Çavusoglu to the U.S. to attend the NATO Foreign Ministers’ Meeting to	0
4-Apr	BFW	Brazil’s Guedes Leaves Cmte Hearing Amid Confusion	0
4-Apr	BFW	*BRAZIL FINMIN LEAVES CONGRESS ESCORTED BY POLICE	0
4-Apr	BFW	Brazil Says Amazon.com Should Share Domain Name Rights: Reuters	0
3-Apr	BNA	Brazil Gazettes Consultation Solution Clarifying Corporate Income Tax, Net Profit, Net Income, Distribution, Dividends	1
3-Apr	BFW	Brazil Economy Minister Argues With Lower House Lawmakers	1
3-Apr	GO7	Ferreira affirmed that Bolsonaro violates Mercosur regulations	0
3-Apr	GO7	Uruguay Republic: Brazil. Embarrassing situation leaves Bolsonaro in a false position before Arab countries.	0
3-Apr	BFW	BRL Reverses Gains as Guedes Hearing Turns Acrimonious	1
3-Apr	BFW	Brazil’s Maia Says He’s Not Opposed to Talking to Bolsonaro	0
